tag,key_no,pavillon,local,utilisation,departement,quantite,remarque
166,1VB88,,,,,,
166,EE69,,,,,,
167,24125,,,,,,
167,158 X2,,,,,,
168,J89173 X2,(R) Sciences de la gestion ,R-4240,Cabinet mural (Sono),,,
169,LA 4,(J) Judith-Jasmin ,J-1210,FCI André Mondoux,Département de communication sociale et publique,,
169,LA 3,(J) Judith-Jasmin ,J-1210,FCI André Mondoux,Département de communication sociale et publique,,
169,LA 1,(J) Judith-Jasmin ,J-1210,FCI André Mondoux,Département de communication sociale et publique,,
169,D20,(J) Judith-Jasmin ,J-1210,FCI André Mondoux,Département de communication sociale et publique,,
169,T613,(J) Judith-Jasmin ,J-1210,FCI André Mondoux,Département de communication sociale et publique,,
169,T604,(J) Judith-Jasmin ,J-1210,FCI André Mondoux,Département de communication sociale et publique,,
170,PL52,(DS) J.-A. DeSève,J-2410,"Atelier de menuiserie, Boîte électrique",SAV,,
171,PL49,(J) Judith-Jasmin ,J-M455,Pôle Cinéma: Régie de projection,"SAV, EDM",,
171,PL50,(J) Judith-Jasmin ,J-S1430,Pôle Cinéma: Salle de projection,"SAV, EDM",,
171,L2D19,(J) Judith-Jasmin ,J-M665,Pôle Cinéma: Studio de son,"SAV, EDM",,à confirmer
171,45LU4,(J) Judith-Jasmin ,J-S1695,Pôle Cinéma: Gradateurs,"SAV, EDM",,à confirmer
171,45LU2,(J) Judith-Jasmin ,J-S1695,Pôle Cinéma: Studio de cinéma,"SAV, EDM",,à confirmer
171,64350,(J) Judith-Jasmin ,J-S1695,Pôle Cinéma: rack Mac Studio,"SAV, EDM",,à confirmer
171,45LU1,(J) Judith-Jasmin ,J-S1695,Pôle Cinéma: Gradateurs,"SAV, EDM",,à confirmer
172,Carte COOP UQAM,,,Pour les professionnels du Soutien,SAV,,
173,3DC41,(A) Hubert-Aquin,"A-M640, A-M646",Cafétéria - Bar,,,à confirmer
173,3DC42,(A) Hubert-Aquin,"A-M640, A-M646",Cafétéria - Bar,,,à confirmer
173,B644A-RD,(A) Hubert-Aquin,"A-M640, A-M646",Cafétéria - Bar,,,à confirmer
173,B399A-FD,(A) Hubert-Aquin,"A-M640, A-M646",Cafétéria - Bar,,,à confirmer
174,OP64,(AD) Espace Quartier latin,AD-S1420,Salle électrique derrière la scène,"SAV, Service des Immeubles",,
175,CH751,(K) Danse ,K-1150 gradateurs,"Rack des gradateurs, Strand Lightning","SAV, tech Danse",,Éliane Cantin (Danse) a une copie de clé
176,OP11,(J) Judith-Jasmin ,C-1335,Salle pour meuble AV du mur vidéo,Service des immeubles,,
177,BK26,(K) Danse ,K-R400,Monte-charge,Département de danse,,
178,BK103,(K) Danse ,K-R400,Monte-charge,Département de danse,,
179,XG6364,(DE) Design,DE-1580,Verrou PC 1,Design,,à confirmer
179,XG6451,(DE) Design,DE-1580,Verrou PC 2,Design,,à confirmer
179,XG6453,(DE) Design,DE-1580,Verrou PC 3,Design,,à confirmer
180,8378,(CS)Centre sportif ,CS-S3010,Cabinet audiovisuel,Centre sportif,,
